 * Serving Flask app "server.py"
 * Environment: production
   WARNING: Do not use the development server in a production environment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://130.113.68.111:8000/ (Press CTRL+C to quit)
130.113.70.51 - - [21/Aug/2018 16:58:43] "GET /sendData?numData=1&type1=EC&id1=02&value1=149 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:43] "GET /sendData?numData=1&type1=EC&id1=02&value1=150 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:43] "GET /sendData?numData=1&type1=EC&id1=02&value1=151 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:43] "GET /sendData?numData=1&type1=EC&id1=02&value1=152 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:43] "GET /sendData?numData=1&type1=EC&id1=02&value1=153 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:43] "GET /sendData?numData=1&type1=EC&id1=02&value1=154 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:43] "GET /sendData?numData=1&type1=EC&id1=02&value1=155 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:43] "GET /sendData?numData=1&type1=EC&id1=02&value1=156 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:43] "GET /sendData?numData=1&type1=EC&id1=02&value1=157 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:43] "GET /sendData?numData=1&type1=EC&id1=02&value1=158 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:44] "GET /sendData?numData=1&type1=EC&id1=02&value1=159 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:44] "GET /sendData?numData=1&type1=EC&id1=02&value1=160 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:44] "GET /sendData?numData=1&type1=EC&id1=02&value1=161 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:44] "GET /sendData?numData=1&type1=EC&id1=02&value1=162 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:44] "GET /sendData?numData=1&type1=EC&id1=02&value1=163 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:44] "GET /sendData?numData=1&type1=EC&id1=02&value1=164 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:44] "GET /sendData?numData=1&type1=EC&id1=02&value1=165 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:44] "GET /sendData?numData=1&type1=EC&id1=02&value1=166 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:44] "GET /sendData?numData=1&type1=EC&id1=02&value1=167 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:44] "GET /sendData?numData=1&type1=EC&id1=02&value1=168 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:44] "GET /sendData?numData=1&type1=EC&id1=02&value1=169 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:44] "GET /sendData?numData=1&type1=EC&id1=02&value1=170 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:44] "GET /sendData?numData=1&type1=EC&id1=02&value1=171 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:44] "GET /sendData?numData=1&type1=EC&id1=02&value1=172 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:44] "GET /sendData?numData=1&type1=EC&id1=02&value1=173 HTTP/1.1" 200 -
